name,brand,category,price_inr,original_price_inr,discount_percent,rating,total_reviews,image_url,ajio_url,platform
YOUSTA Men Regular Fit Round-Neck T-Shirt,YOUSTA,Clothing,199,199,0,4.5,397,https://dummyjson.com/image/400x400/282828/ffffff?text=YOUSTA%20Men%20Regu,https://www.ajio.com/yousta-men-regular-fit-round-neck-t-shirt/p/443629144_black?,ajio
Buda Jeans Co Men Knitted Slim Fit Henley T-Shirt,Buda Jeans Co,Clothing,392,392,72,4,95,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-knitted-slim-fit-henley-t-shirt/p/702854821_wine?,ajio
Buda Jeans Co Men Typographic Oversized Fit T-shirt,Buda Jeans Co,Clothing,375,375,75,4.5,261,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-typographic-oversized-fit-t-shirt/p/702501384_brown?,ajio
Crazybee X AG Men Graphic Print Oversized Crew-Neck T-Shirt,Crazybee X AG,Clothing,230,230,77,4.5,81,https://dummyjson.com/image/400x400/282828/ffffff?text=Crazybee%20X%20AG%20M,https://www.ajio.com/crazybee-x-ag-men-graphic-print-oversized-crew-neck-t-shirt/p/702271814_black?,ajio
OYEEBRO Women Graphic Print Regular Fit Round-Neck T-Shirt,OYEEBRO,Clothing,279,279,81,4,192,https://dummyjson.com/image/400x400/282828/ffffff?text=OYEEBRO%20Women%20G,https://www.ajio.com/oyeebro-women-graphic-print-regular-fit-round-neck-t-shirt/p/701222874_red?,ajio
Buda Jeans Co Men Striped Regular Fit Polo T-Shirt,Buda Jeans Co,Clothing,414,414,77,4.5,272,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-striped-regular-fit-polo-t-shirt/p/702480605_coffee?,ajio
TROMKO Men Striped Regular Fit Polo T-Shirt,TROMKO,Clothing,224,224,86,4.5,449,https://dummyjson.com/image/400x400/282828/ffffff?text=TROMKO%20Men%20Stri,https://www.ajio.com/tromko-men-striped-regular-fit-polo-t-shirt/p/702523794_black?,ajio
Bullmer Men Pack of 2 Typographic Print Oversized Fit Round-Neck T-Shirts,Bullmer,Clothing,528,528,82,4.5,112,https://dummyjson.com/image/400x400/282828/ffffff?text=Bullmer%20Men%20Pac,https://www.ajio.com/bullmer-men-pack-of-2-typographic-print-oversized-fit-round-neck-t-shirts/p/701932987_olive?,ajio
Buda Jeans Co Men Typographic Print Oversized Fit Round-Neck T-Shirt,Buda Jeans Co,Clothing,396,396,67,5,92,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-typographic-print-oversized-fit-round-neck-t-shirt/p/703107125_grey?,ajio
YB DNMX Boys All-Over Print Relaxed Fit Crew-Neck T-Shirt,YB DNMX,Clothing,120,120,70,4,108,https://dummyjson.com/image/400x400/282828/ffffff?text=YB%20DNMX%20Boys%20Al,https://www.ajio.com/yb-dnmx-boys-all-over-print-relaxed-fit-crew-neck-t-shirt/p/443089093_black?,ajio
U.S. Polo Assn. Slim Fit Polo T-Shirt with Contrast Tipping,U.S. Polo Assn.,Clothing,824,824,45,5,257,https://dummyjson.com/image/400x400/282828/ffffff?text=U.S.%20Polo%20Assn.,https://www.ajio.com/u-s-polo-assn-slim-fit-polo-t-shirt-with-contrast-tipping/p/469536535_white?,ajio
NEONOMAD Men Colourblock Regular Fit Polo T-Shirt,NEONOMAD,Clothing,269,269,73,4.5,430,https://dummyjson.com/image/400x400/282828/ffffff?text=NEONOMAD%20Men%20Co,https://www.ajio.com/neonomad-men-colourblock-regular-fit-polo-t-shirt/p/702221883_white?,ajio
Buda Jeans Co Men Slim Fit T-Shirt with Full Sleeves,Buda Jeans Co,Clothing,392,392,72,4.5,320,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-slim-fit-t-shirt-with-full-sleeves/p/702854821_black?,ajio
MANIAC Men Striped Round-Neck Cotton Oversized T-shirt,MANIAC,Clothing,499,499,71,4.5,276,https://dummyjson.com/image/400x400/282828/ffffff?text=MANIAC%20Men%20Stri,https://www.ajio.com/maniac-men-striped-round-neck-cotton-oversized-t-shirt/p/701530485_green?,ajio
Vooter Men Polo Collar T-shirt,Vooter,Clothing,440,440,78,4,180,https://dummyjson.com/image/400x400/282828/ffffff?text=Vooter%20Men%20Polo,https://www.ajio.com/vooter-men-polo-collar-t-shirt/p/700956164_coffee?,ajio
UNIDOR Women Graphic Print Oversized Crew-Neck T-Shirt,UNIDOR,Clothing,290,290,71,4,227,https://dummyjson.com/image/400x400/282828/ffffff?text=UNIDOR%20Women%20Gr,https://www.ajio.com/unidor-women-graphic-print-oversized-crew-neck-t-shirt/p/702729428_ecru?,ajio
Fashion And Youth Men Regular Fit Polo T-shirt,Fashion And Youth,Clothing,342,342,81,4.5,187,https://dummyjson.com/image/400x400/282828/ffffff?text=Fashion%20And%20You,https://www.ajio.com/fashion-and-youth-men-regular-fit-polo-t-shirt/p/701565629_coffee?,ajio
DNMX Women Crew-Neck Casual T-Shirt,DNMX,Clothing,152,152,49,4.5,228,https://dummyjson.com/image/400x400/282828/ffffff?text=DNMX%20Women%20Crew,https://www.ajio.com/dnmx-women-crew-neck-casual-t-shirt/p/443104902_brown?,ajio
TOGS & TERRE Women Typographic Print Oversized Fit T-Shirt,TOGS & TERRE,Clothing,285,285,81,4,402,https://dummyjson.com/image/400x400/282828/ffffff?text=TOGS%20%26%20TERRE%20Wo,https://www.ajio.com/togs--terre-women-typographic-print-oversized-fit-t-shirt-/p/700521698_blue?,ajio
TOGS & TERRE Women Loose Fit Typographic Print T-Shirt,TOGS & TERRE,Clothing,285,285,81,4.5,360,https://dummyjson.com/image/400x400/282828/ffffff?text=TOGS%20%26%20TERRE%20Wo,https://www.ajio.com/togs--terre-women-loose-fit-typographic-print-t-shirt/p/701633619_blue?,ajio
Crazymonk Men Graphic Oversized Fit T-Shirt with Round Neck,Crazymonk,Clothing,465,465,69,4.5,69,https://dummyjson.com/image/400x400/282828/ffffff?text=Crazymonk%20Men%20G,https://www.ajio.com/crazymonk-men-graphic-oversized-fit-t-shirt-with-round-neck/p/700538611_blue?,ajio
Alpha Tribe Men Graphic Print Regular Fit T-Shirt,Alpha Tribe,Clothing,238,238,66,4,338,https://dummyjson.com/image/400x400/282828/ffffff?text=Alpha%20Tribe%20Men,https://www.ajio.com/alpha-tribe-men-graphic-print-regular-fit-t-shirt/p/469769246_multi?,ajio
DNMX Men Graphic Print Regular Fit Crew-Neck T-Shirt,DNMX,Clothing,102,102,66,4,431,https://dummyjson.com/image/400x400/282828/ffffff?text=DNMX%20Men%20Graphi,https://www.ajio.com/dnmx-men-graphic-print-regular-fit-crew-neck-t-shirt/p/443091674_ltaqua?,ajio
LOUIS PHILIPPE Slim Fit Polo T-Shirt with Logo Embroidery,LOUIS PHILIPPE,Clothing,1034,1034,31,4,299,https://dummyjson.com/image/400x400/282828/ffffff?text=LOUIS%20PHILIPPE%20,https://www.ajio.com/louis-philippe-slim-fit-polo-t-shirt-with-logo-embroidery/p/469531258_peach?,ajio
Altheory by AZORTE Printed Oversized Crew-Neck T-Shirt,Altheory by AZORTE,Clothing,300,300,70,4,64,https://dummyjson.com/image/400x400/282828/ffffff?text=Altheory%20by%20AZO,https://www.ajio.com/altheory-by-azorte-printed-oversized-crew-neck-t-shirt/p/443067386_offwhite?,ajio
